"","Company name","Registered number","Primary UK SIC (2007) code","Latest accounts date","Operating revenue (Turnover) th GBP Last avail. yr","Number of employees Last avail. yr","Credit score","Ticker symbol","Primary UK SIC (2007) description","ISIN number","Operating Profit th GBP Last avail. yr","EBITDA th GBP Last avail. yr","Profit (Loss) before Tax th GBP Last avail. yr","Trade Creditors th GBP Last avail. yr","Short Term Loans & Overdrafts th GBP Last avail. yr","Bank Overdrafts th GBP Last avail. yr","Group Loans (short t.) th GBP Last avail. yr","Director Loans (short t.) th GBP Last avail. yr","Hire Purch. & Leas. (short t.) th GBP Last avail. yr","Hire Purchase (short t.) th GBP Last avail. yr","Leasing (short t.) th GBP Last avail. yr","Other Short Term Loans th GBP Last avail. yr","Total Other Current Liabilities th GBP Last avail. yr","Corporation Tax th GBP Last avail. yr","Dividends payable th GBP Last avail. yr","Accruals & Def. Inc. (short t.) th GBP Last avail. yr","Social Securities & V.A.T. th GBP Last avail. yr","Other Current Liabilities th GBP Last avail. yr","Current Liabilities th GBP Last avail. yr","Net Current Assets th GBP Last avail. yr","Net Tangible Assets th GBP Last avail. yr","Working Capital th GBP Last avail. yr","Total Assets th GBP Last avail. yr","Total Assets minus Current Liabilities th GBP Last avail. yr","Long Term Debt th GBP Last avail. yr","Group Loans (long t.) th GBP Last avail. yr","Director Loans (long t.) th GBP Last avail. yr","Hire Purchase & Lease (LT) th GBP Last avail. yr","Hire Purchase (long t.) th GBP Last avail. yr","Leasing (long t.) th GBP Last avail. yr","Preference Shares (part of Liabilities) th GBP Last avail. yr","Other Long Term Loans th GBP Last avail. yr","Total Other Long Term Liab. th GBP Last avail. yr","Accruals & Def. Inc. (long t.) th GBP Last avail. yr","Other Long Term Liab. th GBP Last avail. yr","Provisions for Other Liab. th GBP Last avail. yr","Deferred Tax th GBP Last avail. yr","Other Provisions th GBP Last avail. yr","Pension Liabilities th GBP Last avail. yr","Long Term Liabilities th GBP Last avail. yr","Net assets th GBP Last avail. yr","Issued Capital th GBP Last avail. yr","Ordinary Shares th GBP Last avail. yr","Preference Shares (part of Equity) th GBP Last avail. yr","Other Shares th GBP Last avail. yr","Total Reserves th GBP Last avail. yr","Share Premium Account th GBP Last avail. yr","Revaluation Reserves th GBP Last avail. yr","Profit (Loss) Account th GBP Last avail. yr","Other Reserves th GBP Last avail. yr","Balance sheet Minorities th GBP Last avail. yr","Shareholders Funds th GBP Last avail. yr","Cash In(Out)flow Operat. Activ. th GBP Last avail. yr","Cash In(Out)flow Ret. On Invest. th GBP Last avail. yr","Taxation th GBP Last avail. yr","Cash Out(In)flow Investing Activ. th GBP Last avail. yr","Capital Expenditure & Financ. Invest. th GBP Last avail. yr","Acquisition & Disposal th GBP Last avail. yr","Equity Dividends Paid th GBP Last avail. yr","Management of Liquid Resources th GBP Last avail. yr","Cash Out(In)flow from Financing th GBP Last avail. yr","Increase (Decrease) Cash & Equiv. th GBP Last avail. yr","EBITDA margin Last avail. yr","Profit margin Last avail. yr"
"664.","MONDI PLC","06209386","17211","31/12/2024","6130000","21200","92","MNDI","Manufacture of corrugated paper and paperboard; manufacture of sacks and bags of paper","GB00BMWC6P49","377000","830000","312000","-536000","-52000","-32000","","","","","","-20000","-639000","-55000","","-344000","-54000","-186000","-1228000","1069000","5801000","1312000","7721000","6493000","-1528000","","","","","","","-1528000","-102000","","-102000","-309000","-283000","-26000","-133000","-2071000","4422000","80000","","","","3935000","","","3788000","147000","408000","4423000","744000","44000","-99000","-800000","","","-894000","","-79000","-1084000","13.539967374","5.089722675"
"665.","MONKS INVESTMENT TRUST PUBLIC LIMITED COMPANY(THE)","00236964","64301","30/04/2025","25953","8","89","MNKS","Activities of investment trusts","GB0030517261","14281","14281","5735","","-50000","-50000","","","","","","","-10925","","","","","-10925","-60925","-35402","2493069","","2553994","2493069","-173415","","","","","","","-173415","","","","-748","","-748","","-174163","2318906","12659","","","","2306247","433714","","72599","1799934","n.a.","2318906","37257","1098","-3865","","310083","","-4372","","-324293","15908","","22.097638038"
"666.","MONTANARO EUROPEAN SMALLER COMPANIES TRUST PLC","SC074677","64999","31/03/2025","5182","","92","MTE","Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.","GB0004543517","3556","3556","3373","","-12560","","","","","","","-12560","-839","","","","","-839","-13399","3009","299838","","313237","299838","-8330","","","","","","","-8330","","","","","","","","-8330","291508","9471","","","","282037","44057","","5023","232957","n.a.","291508","20526","-452","","","","","-2273","","-3019","14782","","65.090698572"
"667.","MONTANARO UK SMALLER COMPANIES INVESTMENT TRUST PLC","03004101","64301","31/03/2025","6560","","85","MTU","Activities of investment trusts","GB0006007560","5588","5588","5419","","-12500","","","","","","","-12500","-1342","","","-35","","-1307","-13842","-6705","150797","","164639","150797","","","","","","","","","","","","","","","","n.a.","150797","3348","3348","","","147449","19307","","557","127585","n.a.","150797","","","","","","","","","","","","82.606707317"
"668.","MONY GROUP PLC","06160943","70100","31/12/2024","439200","695","92","MONY","Activities of head offices","GB00B1ZBKY84","113300","138800","108700","-52100","-12000","","","","","","","-12000","-52500","","","-200","","-52300","-116600","-1900","15700","-52100","402300","285700","","","","","","","","","-22200","","-22200","-18600","-13100","-5500","","-40800","244900","100","","","","239600","205600","","-29300","63300","5200","244900","112900","-200","-1600","-14100","","","-65500","","-25700","5800","31.60291439","24.749544627"
"669.","MOONPIG GROUP PLC","13096622","70100","30/04/2025","350068","670","64","MOON","Activities of head offices","GB00BMT9K014","13289","99762","2958","-26445","-111","","","","","","","-111","-81985","-3217","","-64060","-8126","-6582","-108541","-80705","-67893","-16497","189986","81445","-94985","","","","","","","-94985","-12848","","-12848","-6829","-4287","-2542","","-114662","-33217","33384","","","","-66601","278083","","609589","-954273","n.a.","-33217","85262","2162","-16392","-13306","","","-3395","","-51290","3041","28.497891838","0.84497869"
"670.","MORGAN ADVANCED MATERIALS PLC","00286773","70100","31/12/2024","1100700","8590","92","MGAM","Activities of head offices","GB0006027295","103600","153400","84600","-94100","-9300","","","","","","","-9300","-159700","-26600","","-72600","-13000","-47500","-263100","216700","601600","229100","1077100","814000","-337700","","","","","","-400","-337300","-38900","-700","-38200","-13600","-2700","-10900","-34500","-424700","389300","70900","","","","282800","111700","","179300","-8200","35600","389300","118100","-7000","-3300","-88600","","","-34500","","9600","-5700","13.936585809","7.686017989"
"671.","MORGAN SINDALL GROUP PLC","00521970","41100","31/12/2024","4546200","8242","97","MGNS","Development of building projects","GB0008085614","162000","195600","171900","-321500","-52000","","-200","","","","","-51800","-1026700","","","-736900","-139300","-150500","-1400200","304700","448700","748600","2130600","730400","","","","","","","","","-60700","","-60700","-22500","-2100","-20400","","-83200","647200","2400","","","","644800","65700","","578200","900","n.a.","647200","172700","20300","-43900","-17500","","","-56100","","-43800","31700","4.302494391","3.781179886"
"672.","MORTGAGE ADVICE BUREAU (HOLDINGS) PLC","04131569","70100","31/12/2024","266537","936","92","MAB1","Activities of head offices","GB00BQSBH502","24745","32456","22886","-24980","-5102","-5102","","","","","","","-25136","-179","","-9368","-1799","-13790","-55218","-21780","-614","-23625","160830","105612","-8735","","","","","","","-8735","-10397","","-10397","-11385","-11385","","","-30517","75095","58","","","","73604","55163","","14109","4332","1433","75095","34566","439","-6599","-5040","","","-16167","","-5464","1735","12.176921028","8.586425149"
"673.","MOTHERCARE PLC.","01950509","47789","29/03/2025","38900","124","33","MTC","Other retail sale of new goods in specialised stores (other than by opticians or commercial art galleries), n.e.c","GB0009067447","16000","17500","11900","-2100","","","","","","","","","-6100","-1300","","","-300","-4500","-8200","800","11900","600","28700","20500","-8000","","","","","","","-8000","-700","","-700","-100","","-100","-21100","-29900","-9400","89300","","","","-98700","108800","10700","-214200","-4000","n.a.","-9400","","-3000","-1500","14800","","","","","-11000","-700","44.98714653","30.59125964"
"674.","MOTORPOINT GROUP PLC","10119755","45112","31/03/2025","1173100","796","89","MOTR","Sale of used cars and light motor vehicles","GB00BD0SFR60","13500","23900","4100","-137700","-6000","","","","-6000","","-6000","","-18000","-500","","-14400","-2700","-400","-161700","9700","26400","19600","242100","80400","-51400","","","-51400","","-51400","","","","","","-2100","","-2100","","-53500","26900","900","","","","26000","","","35200","-9200","n.a.","26900","29000","-9400","-200","-7300","","","","","-14700","-2600","2.03733697","0.349501321"
"675.","MOUNTVIEW ESTATES PLC","00328020","41100","31/03/2025","72132","62","92","MTVW","Development of building projects","GB0006081037","36298","36351","31304","-1382","-1402","-1402","","","","","","","-2867","-2356","","","-304","-207","-5651","463213","486270","465781","491921","486270","-78700","","","","","","","-78700","","","","-4915","-4915","","","-83615","402655","195","","","","402460","","","402324","136","n.a.","402655","14593","-4971","-7729","","","","-20470","","12200","-6377","50.395108967","43.398214385"
"676.","MPAC GROUP PLC","00124855","33200","31/12/2024","122400","587","88","MPAC","Installation of industrial machinery and equipment","GB0005991111","3400","8800","3400","-54500","-41200","","","","","","","-41200","-24800","-2200","","-8700","-1400","-12500","-120500","-26200","25100","8500","272400","151900","-14500","","","","","","","-14500","-8800","","-8800","-19100","-19100","","-1500","-43900","108000","7500","","","","100500","61800","","35200","3500","n.a.","108000","4200","-1200","-1600","-59500","","","","","65700","7600","7.189542484","2.777777778"
"677.","MS INTERNATIONAL PLC","00653735","70100","30/04/2025","117503","454","99","MSI","Activities of head offices","GB0005957005","18722","21325","20050","-52108","","","","","","","","","-10708","-1","","-8202","","-2505","-62816","37879","68571","11674","134139","71323","","","","","","","","","-7892","","-7892","-2242","-2242","","","-10134","61189","1784","","","","59405","","8246","53317","-2158","n.a.","61189","2249","22","-5520","-338","","","-3507","","-4525","-11619","18.148472805","17.063394126"
"678.","MULBERRY GROUP PLC","01180514","70100","29/03/2025","120389","1035","28","MUL","Activities of head offices","GB0006094303","-26867","-12552","-31820","-10342","-27749","-4596","","","-10153","","-10153","-13000","-20099","","","-13446","","-6653","-58190","-18615","4711","10914","94869","36679","-36964","","","-29735","","-29735","","-7229","-2318","","-2318","","","","","-39282","-2603","3524","","","","-6127","21779","","-27405","-501","n.a.","-2603","8649","-4886","-550","-2970","","","","","895","1138","-10.426201729","-26.43098622"
"679.","MURRAY INCOME TRUST PLC","SC012725","64301","30/06/2025","42224","6","89","MUT","Activities of investment trusts","GB0006111123","39809","39809","39037","-3248","-6140","-6140","","","","","","","-1447","","","","","-1447","-10835","11697","1022745","-3248","1033580","1022745","-106007","","","","","","","-106007","","","","","","","","-106007","916738","29882","","","","886856","438213","","32464","416179","n.a.","916738","38090","-2619","","","46038","","-38969","","-57576","-15036","","92.452159909"
"680.","MURRAY INTERNATIONAL TRUST PLC","SC006705","64301","31/12/2024","84216","","86","MYI","Activities of investment trusts","GB0006111909","80341","80341","79413","","-291","-291","","","","","","","-2838","","","","","-2838","-3129","23771","1788765","","1791894","1788765","-109916","","","","","","","-109916","","","","","","","","-109916","1678849","32353","32353","","","1646496","363461","","74182","1208853","n.a.","1678849","62940","","","86167","","","-71925","","-74322","2860","","94.296808207"
"681.","NAHL GROUP PLC","08996352","82990","31/12/2024","38805","279","55","NAH","Other business support service activities n.e.c.","GB00BM7S2W63","-36537","4849","-39095","-671","","","","","","","","","-17861","","","","-720","-17141","-18532","27450","27706","10489","47903","29371","-8966","","","","","","","-8966","-1225","","-1225","-52","-52","","","-10243","19128","119","","","","19009","14595","","66003","-61589","n.a.","19128","5711","-7","-622","-130","","","","","-5108","-156","12.495812395","n.s."
"682.","NAKED WINES PLC","02281640","47250","31/03/2025","250216","347","86","WINE","Retail sale of beverages in specialised stores","GB00B021F836","-3338","8158","-4894","-13432","","","","","","","","","-74608","-34","","-12666","-2036","-59872","-88040","58165","64207","94735","164487","76447","","","","","","","","","-4817","","-4817","-99","","-99","","-4916","71531","5550","","","","65981","21162","","39583","5236","n.a.","71531","17978","802","-2337","-1141","","","","","-16376","-1074","3.260383029","-1.955910094"
"683.","NANOCO GROUP PLC","05067291","72110","31/07/2025","7618","41","29","NANO","Research and experimental development on biotechnology","GB00B01JLR99","-1612","-248","-973","-462","-643","","","","-643","","-643","","-7123","","","-836","","-6287","-8228","7076","10947","-267","21227","12999","-655","","","-655","","-655","","","-31181","-31181","","-669","","-669","","-32505","-19506","19461","","","","-38967","","","41615","-80582","n.a.","-19506","-5191","725","325","-373","","","","","-1737","-6251","-3.255447624","-12.772381202"
"684.","NARF INDUSTRIES PLC","11701224","62090","31/03/2025","2314.632","15","23","NARF","Other information technology and computer service activities","GB00BMH18M70","-2664.515","-2631.336","-2748.81","-118.424","-2388.325","","","-2315.278","-73.047","","-73.047","","-515.428","","","-472.04","","-43.388","-3022.178","-2306.834","-2306.834","80.218","715.344","-2306.834","","","","","","","","","","","","","","","","n.a.","-2306.834","157.489","","","","-2464.322","27246.268","","-18328.024","-11382.566","n.a.","-2306.834","-1433.596","","","","","","","","1033.981","-399.614","n.s.","n.s."
"685.","NATIONAL GRID PLC","04031152","70100","31/03/2025","18378000","31807","95","NG.","Activities of head offices","GB00BDR05C01","4934000","7181000","3650000","-3061000","-4662000","-488000","","","","","","-4174000","-2898000","-219000","","-401000","-131000","-2147000","-10621000","3711000","83025000","546000","106742000","96121000","-42877000","","","","","","","-42877000","-4115000","-6000","-4109000","-10730000","-8038000","-2692000","-573000","-58295000","37826000","638000","","","","37165000","1292000","","40106000","-4233000","23000","37826000","6991000","-1563000","-183000","-11051000","","","-1529000","","7977000","642000","39.073892698","19.860703014"
"686.","NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY","00929027","64191","31/12/2024","11973000","55700","85","NWBD","Banks","GB0006227051","4663000","5652000","4663000","","-370787000","","-37943000","","","","","-332844000","-6541000","-33000","","-1300000","","-5208000","-377328000","-252546000","45119000","","424309000","46981000","-20129000","-9781000","","","","","","-10348000","-3133000","","-3133000","-560000","-83000","-477000","-41000","-23863000","23118000","4995000","","","","18098000","2225000","","15537000","336000","25000","23118000","856000","-431000","-1186000","-9956000","","","-2715000","","817000","-12615000","47.206213981","38.945961747"
"687.","NATWEST GROUP PLC","SC045551","64110","31/12/2024","14703000","59700","89","NWG","Central banking","GB00BM8PJY71","6195000","6777000","6195000","-433490000","","","","","","","","","-160888000","-263000","","-1747000","","-158878000","-594378000","99986000","106019000","-433490000","707985000","113607000","","","","","","","","","-73186000","","-73186000","-963000","-99000","-864000","-80000","-74229000","39378000","15413000","","","","23937000","","","11426000","12511000","28000","39378000","3374000","-1344000","-1602000","-12699000","","","-1800000","","1258000","-12813000","46.092634156","42.134258315"
"688.","NB PRIVATE EQUITY PARTNERS LTD","GG47214","","31/12/2023","5537.495","6","n.a.","NBPU","","GG00B1ZBD492","-14416.611","-14416.611","-23972.17","","","","","","","","","","-9317.357","","","","","-9317.357","-9317.357","122918.358","1160081.233","","1169398.59","1160081.233","","","","","","","","","-133774.551","","-133774.551","-19.527","-19.527","","","-133794.078","1026287.155","386226.078","","","","638488.057","","","645747.445","-7259.388","1573.02","1026287.155","7123.702","-5185.977","-28.21","","","","-34413.9","","66714.084","34209.698","","n.s."
"689.","NCC GROUP PLC","04627044","74909","30/09/2024","429500","2201","85","NCC","Other professional, scientific and technical activities (not including environmental consultancy or quantity surveying) n.e.c.","GB00B01QGK86","-19200","42400","-27500","-4600","-13600","-13600","","","","","","","-108100","-1600","","-75400","","-31100","-126300","20200","32400","13900","420100","293800","-61500","","","","","","","-61500","-24700","-2800","-21900","-2400","-500","-1900","","-88600","205200","3100","","","","202100","224400","","-89100","66800","n.a.","205200","25100","600","700","2600","","","-14500","","-32900","-18400","9.871944121","-6.402793946"
"690.","NETCALL PLC","01812912","70100","30/06/2025","47961","357","99","NET","Activities of head offices","GB0000060532","4645","7862","5071","-28452","","","","","","","","","-12324","-1045","","","-1336","-9943","-40776","-5590","-4520","-23311","88250","47474","","","","","","","","","-1102","","-1102","-2386","-2386","","","-3488","43986","8432","","","","35554","5574","","24111","5869","n.a.","43986","10341","125","-132","-15656","","","-1470","","-89","-6881","16.392485561","10.573174037"
"691.","NEW STAR INVESTMENT TRUST PLC","03969011","64301","30/06/2025","3398","","89","NSI","Activities of investment trusts","GB0002631041","3021","3021","3021","","","","","","","","","","-325","","","-325","","","-325","18098","121140","","121465","121140","","","","","","","","","","","","","","","","n.a.","121140","710","","","","120430","4527","","3227","112676","n.a.","121140","1500","","","19789","","","-2415","","-17176","1698","","88.905238376"
"692.","NEWMARK SECURITY PLC","03339998","80200","30/04/2025","23037","109","95","NWT","Security systems service activities","GB0006596406","930","2417","643","-1492","-851","-851","","","","","","","-3829","","","-1118","-522","-2189","-6172","1962","3556","5346","16149","9977","-133","","","","","","","-133","-1059","","-1059","-113","","-113","","-1305","8672","4687","","","","3985","553","","2956","476","n.a.","8672","1534","74","-19","-1006","","","","","-1214","-631","10.491817511","2.791162044"
"693.","NEWRIVER REIT PLC","10221027","68100","31/03/2025","90500","299","92","NRR","Buying and selling of own real estate","GB00BD7XPJ64","39000","40400","26700","-1600","-1800","","","","-1800","","-1800","","-51800","","","-18100","-1800","-31900","-55200","28200","976300","6000","1054100","998900","-508800","","","-71800","","-71800","","-437000","","","","","","","","-508800","490100","4700","","","","485400","53900","","358600","72900","n.a.","490100","39700","-11300","","-67800","","","-21800","","-10300","-71500","44.640883978","29.502762431"
"694.","NEXT 15 GROUP PLC","01579589","70210","31/01/2025","729810","4216","92","NFG","Public relations and communication activities","GB0030026057","56628","95626","62452","-36696","-61859","-61859","","","","","","","-179838","-4189","","-83594","-10786","-81269","-278393","-21838","39915","90323","604962","326569","-65939","","","","","","","-65939","-57506","","-57506","-21932","-15431","-6501","","-145377","181192","2523","","","","179148","192654","","-15633","2127","-479","181192","67773","-129","814","-12894","","","-15457","","-55382","-15275","13.102862389","8.557295735"
"695.","NEXT PLC","04412362","70100","25/01/2025","6118100","50743","95","NXT","Activities of head offices","GB0032089863","1075400","1392000","987000","-355800","-312000","-31500","-1400","","","","","-279100","-898600","","","-107500","-123000","-668100","-1566400","1083500","1833400","1878600","4872500","3306100","-543800","","","","","","","-543800","-894200","","-894200","-113800","-58100","-55700","","-1551800","1754300","12400","","","","1623900","54200","","3419500","-1849800","118000","1754300","1369100","-93900","-242600","-181200","","","-257800","","-580500","13100","22.752161619","16.132459424"
"696.","NEXTENERGY SOLAR FUND LTD","GG57739","64301","31/03/2024","8815","7","n.a.","NESF","Activities of investment trusts","GG00BJ0JVY01","-8357","-8357","-8357","","","","","","","","","","-2650","","","","","-2650","-2650","14719","816955","","819605","816955","-198336","","","","","","-198336","","","","","","","","","-198336","618619","610079","","","","8540","","","8540","","n.a.","618619","42924","-968","","","","","-47444","","","-5488","","-94.804310834"
"697.","NEXTEQ PLC","04316977","62090","31/12/2024","69226","223","92","NXQ","Other information technology and computer service activities","GB00B99PCP71","240","4292","1374","-6108","-69","-69","","","","","","","-3696","","","","-224","-3472","-9874","40733","47302","18533","68275","58401","-216","","","","","","","-216","-1500","","-1500","-284","","-284","","-2000","56401","85","","","","56317","5389","","57610","-6682","n.a.","56401","12398","-81","-890","-2283","","","-2265","","-6223","656","6.199982665","1.984803398"
"698.","NEXUS INFRASTRUCTURE PLC","05635505","43999","30/09/2024","56713","248","89","NEXS","Specialised construction activities (other than scaffold erection) n.e.c.","GB00BZ77SW60","-2225","402","-2764","-12321","","","","","","","","","-3056","-12","","-656","-484","-1904","-15377","21907","26986","10862","54997","39620","","","","","","","","","-9638","","-9638","","","","","-9638","29982","181","","","","29801","9419","","20382","","n.a.","29982","-70","690","-690","-288","","","-271","","-1196","-1825","0.70883219","-4.873662123"
"699.","NICHOLS PLC","00238303","11070","31/12/2024","172809","297","97","NICL","Manufacture of soft drinks; production of mineral waters and other bottled waters","GB0006389398","21491","23399","24034","-10777","-1512","","","","","","","-1512","-22737","-243","","-21417","-449","-628","-35026","73821","84389","39665","121486","86460","","","","","","","","","-1672","","-1672","-743","-743","","","-2415","84045","3697","","","","80348","3255","","73413","3680","n.a.","84045","19199","6313","-6131","-833","","","-31153","","-755","-13360","13.540382735","13.907840448"
"700.","NINETY ONE PLC","12245293","64209","31/03/2025","700000","1203","88","N91","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BJHPLV88","188300","202100","204300","-11551500","","","","","","","","","-135400","-10900","","-21900","","-102600","-11686900","357700","460500","-11445000","12212100","525200","","","","","","","","","-107700","","-107700","-43900","-43900","","","-151600","373600","403700","","","","-30300","","","368000","-398300","200","373600","361000","1100","-43700","-7800","","","-107200","","-58200","145200","28.871428571","29.185714286"
"701.","NIOX GROUP PLC","05822706","70100","31/12/2024","41800","91","89","NIOX","Activities of head offices","GB00BJVD3B28","7700","9600","7800","-1600","","","","","","","","","-6500","","","-4500","-900","-1100","-8100","13000","31100","7000","68400","60300","","","","","","","","","-800","","-800","","","","","-800","59500","300","","","","65300","200","","43400","21700","-6100","59500","18100","","-100","-1000","","","-4200","","-21700","-8900","22.966507177","18.660287081"
"702.","NIPPON ACTIVE VALUE FUND PLC","12275668","64301","31/12/2024","9132","","86","NAVF","Activities of investment trusts","GB00BKLGLS10","7103","7103","7103","","","","","","","","","","-1310","","","-124","","-1186","-1310","19849","365442","","366752","365442","","","","","","","","","","","","","","","","n.a.","365442","1891","","","","363551","231834","","6667","125050","n.a.","365442","1789","","","-1131","","","-3026","","","-2368","","77.781427946"
"703.","NORCROS PLC","03691883","70100","31/03/2025","368100","2003","92","NXR","Activities of head offices","GB00BYYJL418","8300","24900","2000","-48200","","","","","","","","","-47000","-1000","","-29400","-6800","-9800","-95200","92600","122600","104900","388000","292800","-59500","","","","","","","-59500","-14300","","-14300","-11100","-10000","-1100","","-84900","207900","8900","","","","199000","47600","","177100","-25700","n.a.","207900","21200","700","-3400","-3400","","","-9200","","-14200","-8300","6.764466178","0.543330617"
"704.","NORMAN BROADBENT PLC","00318267","70100","31/12/2024","10919","58","89","NBB","Activities of head offices","GB00B3VF4Y66","-102","183","-158","-378","-54","","","","","","","-54","-2544","","","-1709","-422","-413","-2976","-474","-412","1418","4432","1456","-59","","","","","","","-59","-119","","-119","","","","","-178","1278","6396","","","","-5118","14233","","-19325","-26","n.a.","1278","-35","33","","-50","","","","","-477","-529","1.675977654","-1.447018958"
"705.","NORTH ATLANTIC SMALLER COMPANIES INVESTMENT TRUST PLC","01091347","64301","31/01/2025","23655","","92","NAS","Activities of investment trusts","GB0006439003","15053","15053","15053","","","","","","","","","","-5589","","","","","-5589","-5589","18086","713504","","719093","713504","","","","","","","","","","","","","","","","n.a.","713504","661","","","","712843","1301","","23738","687804","n.a.","713504","10182","","-11","16122","","","-9195","","-9451","7647","","63.635595012"
"706.","NORTHAMBER PLC","01499584","47410","30/06/2025","63306","126","86","NAR","Retail sale of computers, peripheral units and software in specialised stores","GB00B2Q99X01","-3719","-2785","-4026","-8658","","","","","","","","","-10753","-193","","-2703","-1348","-6509","-19411","8575","14457","11942","37991","18580","","","","","","","","","","","","-551","-551","","","-551","18029","271","","","","17758","5736","","10505","1517","n.a.","18029","799","-308","-12","-330","","","-164","","-96","-111","-4.399267052","-6.359586769"
"707.","NORTHCODERS GROUP PLC","13378742","70100","31/12/2024","8819.083","129","97","CODE","Activities of head offices","GB00BL97B942","444.75","840.43","388.864","-115.883","-258.276","-76.859","","","","","","-181.417","-983.476","","","-272.331","-579.994","-131.151","-1357.635","1913.893","2126.257","1851.33","6986.512","5628.877","-216.859","","","","","","","-216.859","-99.844","","-99.844","","","","","-316.703","5312.174","80.115","","","","5232.059","4801.444","","-888.322","1318.937","n.a.","5312.174","857.743","38.789","32.392","-849.041","","","","","-511.275","-431.392","9.529675591","4.409347321"
"708.","NORTHERN 2 VCT PLC","03695071","64999","31/03/2025","3144","","97","NTV","Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.","GB0005356430","1902","1902","1902","","","","","","","","","","-543","","","-543","","","-543","40189","128078","","128621","128078","","","","","","","","","","","","","","","","n.a.","128078","10993","10993","","","117085","62633","4939","868","48645","n.a.","128078","298","","","-5421","","","-6447","","6633","-4937","","60.496183206"
"709.","NORTHERN 3 VCT PLC","04280530","64999","31/03/2025","2692","","97","NTN","Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.","GB0031152027","1565","1565","1565","","","","","","","","","","-279","","","-279","","","-279","26878","130109","","130388","130109","","","","","","","","","","","","","","","","n.a.","130109","7226","7226","","","122883","62268","7632","1253","51730","n.a.","130109","-42","","","-6479","","","-6153","","6810","-5864","","58.135215453"
